practice_code_standardised,ocs_months_observed,gpad_months_observed,months_with_denominator,annual_patient_month_exposure,mean_monthly_list_size,maximum_percentage_monthly_change,ocs_annual_total_submissions,ocs_annual_clinical_submissions,ocs_annual_administrative_submissions,ocs_annual_other_unknown_submissions,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,ocs_other_unknown_share,ocs_component_reconciliation_difference,ocs_mean_absolute_monthly_rate_change,gpad_annual_total_appointments,gpad_annual_attended,gpad_annual_dna,gpad_annual_status_unknown,gpad_annual_face_to_face,gpad_annual_telephone,gpad_annual_video_online,gpad_annual_home_visit,gpad_annual_mode_unknown,gpad_annual_mode_other,gpad_annual_same_day,gpad_annual_1_day,gpad_annual_2_to_7_days,gpad_annual_8_to_14_days,gpad_annual_15_to_21_days,gpad_annual_22_to_28_days,gpad_annual_over_28_days,gpad_annual_over_14_days,gpad_annual_booking_unknown,gpad_annual_booking_other,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_day_share,gpad_2_to_7_days_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_within_7_days_share,gpad_over_14_days_share,gpad_mean_absolute_monthly_rate_change,gpad_status_reconciliation_difference,gpad_mode_reconciliation_difference,gpad_booking_reconciliation_difference
A81031,12,12,12,163880.0,13656.666666666666,0.27836788513662003,3842.0,2515.0,1327.0,0.0,23.443983402489625,0.6546069755335763,0.3453930244664237,0.0,0.0,6.119882966654895,85881,69538,4693,11650,67280,17136,0,0,1465,0,24398,4812,18220,7769,9047,8652,12488,30187,495,0,524.048083963876,0.05464538139984397,0.7834096016581084,0.19953191043420548,0.2840907767725108,0.05603101966674817,0.2121540270839883,0.2681850467507365,0.09046238399646021,0.5522758235232473,0.351498003050733,64.98660803434164,0,0,0
A81032,12,12,12,139858.0,11654.833333333334,0.27448962086121115,5058.0,3276.0,1782.0,0.0,36.165253328375925,0.6476868327402135,0.35231316725978645,0.0,0.0,5.446107835546432,86284,79239,3143,3902,68058,12647,2226,968,2385,0,34475,3538,13202,13623,10996,7829,2572,21397,49,0,616.9400391825995,0.03642622038848454,0.7887673265031756,0.14657410412127395,0.39955264011867786,0.04100412590978629,0.15300635111955865,0.19401047702934493,0.15788558713087014,0.5935631171480228,0.247983403643781,95.97659517707974,0,0,0
A81034,12,12,12,251091.0,20924.25,0.19606905456458326,7683.0,5755.0,1928.0,0.0,30.59846828440685,0.749056358193414,0.25094364180658596,0.0,0.0,5.133894628016541,124620,119396,2657,2567,80670,18049,23279,4,2618,0,73163,9749,16140,10184,7032,6989,1060,15081,303,0,496.31408533161283,0.021320815278446478,0.6473278767453057,0.14483229016209276,0.5870887497993902,0.07822981864869202,0.1295137217140106,0.20774354036270262,0.08172043010752689,0.7948322901620928,0.12101588830043332,40.87250468774457,0,0,0
A81035,12,12,12,116377.0,9698.083333333334,0.9546539379474941,4424.0,2936.0,1488.0,0.0,38.014384285554705,0.6636528028933092,0.33634719710669075,0.0,0.0,6.79392490477598,46894,42193,2535,2166,34537,9990,1257,1110,0,0,20170,3341,9117,4588,3045,3297,3324,9666,12,0,402.9490363216099,0.05405808845481298,0.7364908090587282,0.21303365036038727,0.43011899176866975,0.07124578837377916,0.19441719622979486,0.265662984603574,0.09783767646180748,0.6957819763722438,0.20612445088923956,54.97836888365838,0,0,0
A81036,12,12,12,194347.0,16195.583333333334,0.5605864596808969,31452.0,27316.0,4136.0,0.0,161.83424493303215,0.8684980287422104,0.13150197125778965,0.0,0.0,22.808348107260443,111697,100569,2859,8269,69666,24722,15084,0,2225,0,42307,6381,21093,18544,12380,6144,4818,23342,30,0,574.7297359876922,0.025596032122617438,0.6237052024673895,0.22133092204804067,0.37876576810478346,0.05712776529360681,0.1888412401407379,0.2459690054343447,0.16602057351585092,0.6247347735391282,0.208976069187176,65.8948371929607,0,0,0
A81037,12,12,12,76797.0,6399.75,1.8285896008904436,990.0,763.0,227.0,0.0,12.891128559709363,0.7707070707070707,0.2292929292929293,0.0,0.0,2.7656777826757644,35188,30120,1993,3075,20307,13925,0,0,956,0,13873,1408,4322,5353,4333,2317,3581,10231,1,0,458.1949815748011,0.05663862680459247,0.5771001477776515,0.39573149937478685,0.39425372286006594,0.04001364101398204,0.12282596339661248,0.16283960441059453,0.15212572467886779,0.5570933272706604,0.2907525292713425,58.38441525596059,0,0,0
A81038,12,12,12,45093.0,3757.75,0.7221182134260498,6105.0,5295.0,810.0,0.0,135.38686714124142,0.8673218673218673,0.13267813267813267,0.0,0.0,41.80557555424136,20981,19269,863,849,9303,7528,2608,1092,450,0,10990,1249,3750,2170,1136,777,856,2769,53,0,465.2828598673852,0.04113245317191745,0.44340117248939515,0.3588008197893332,0.5238072541823555,0.059530050998522474,0.17873313950717315,0.2382631905056956,0.1034269100614842,0.7620704446880511,0.13197655021209667,53.77373151353196,0,0,0
A81039,12,12,12,155614.0,12967.833333333334,0.7965299684542586,14245.0,9752.0,4493.0,0.0,91.54060688626987,0.6845910845910846,0.3154089154089154,0.0,0.0,19.813971720524393,66295,61715,2783,1797,50677,6941,8132,59,486,0,15368,6668,16530,13730,7386,5252,1349,13987,12,0,426.0220802755536,0.04197903310958594,0.764416622671393,0.1046986952258843,0.23181235387284108,0.10058073761218794,0.24934007089524096,0.3499208085074289,0.20710460819066295,0.58173316238027,0.21098122030319028,63.411530831739626,0,0,0
A81040,12,12,12,102260.0,8521.666666666666,0.37479503396579994,3738.0,2523.0,1215.0,0.0,36.55388226090358,0.6749598715890851,0.32504012841091495,0.0,0.0,6.209006262387118,37288,33836,1366,2086,19158,12336,3782,355,1657,0,14076,2364,5386,5180,4779,3369,2125,10273,9,0,364.6391550948562,0.03663376957734392,0.5137845955803476,0.33083029392834157,0.3774940999785454,0.06339841235786312,0.14444325252091825,0.20784166487878136,0.13891868697704354,0.5853357648573267,0.2755041836515769,35.67512518077074,0,0,0
A81041,12,12,12,112918.0,9409.833333333334,0.12742911755336095,1173.0,739.0,434.0,0.0,10.388069218370854,0.6300085251491901,0.3699914748508099,0.0,0.0,1.7504008087583458,49038,45996,1397,1645,46963,1389,0,0,686,0,20605,2500,6933,8985,3271,2812,3929,10012,3,0,434.279742822225,0.028488111260655,0.9576858762592275,0.028324972470329134,0.4201843468330682,0.05098087197683429,0.14138015416615685,0.19236102614299114,0.18322525388474245,0.6125453729760594,0.20416819609282597,64.78052937360837,0,0,0
