practice_code_standardised,ocs_months_observed,gpad_months_observed,months_with_denominator,annual_patient_month_exposure,mean_monthly_list_size,maximum_percentage_monthly_change,ocs_annual_total_submissions,ocs_annual_clinical_submissions,ocs_annual_administrative_submissions,ocs_annual_other_unknown_submissions,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,ocs_other_unknown_share,ocs_component_reconciliation_difference,ocs_mean_absolute_monthly_rate_change,gpad_annual_total_appointments,gpad_annual_attended,gpad_annual_dna,gpad_annual_status_unknown,gpad_annual_face_to_face,gpad_annual_telephone,gpad_annual_video_online,gpad_annual_home_visit,gpad_annual_mode_unknown,gpad_annual_mode_other,gpad_annual_same_day,gpad_annual_1_day,gpad_annual_2_to_7_days,gpad_annual_8_to_14_days,gpad_annual_15_to_21_days,gpad_annual_22_to_28_days,gpad_annual_over_28_days,gpad_annual_over_14_days,gpad_annual_booking_unknown,gpad_annual_booking_other,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_day_share,gpad_2_to_7_days_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_within_7_days_share,gpad_over_14_days_share,gpad_mean_absolute_monthly_rate_change,gpad_status_reconciliation_difference,gpad_mode_reconciliation_difference,gpad_booking_reconciliation_difference,cbt_months_with_any_record,cbt_inbound_complete_months,cbt_mapping_valid_months,cbt_integrity_gap_months,cbt_any_integrity_gap_flag,cbt_annual_inbound_calls,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range
A82021,12,12,12,217071.0,18089.25,0.5106288505300549,45292.0,38051.0,7241.0,0.0,208.650625832101,0.8401262916188289,0.15987370838117107,0.0,0.0,20.157724995194382,96141,88673,3105,4363,70107,16698,5756,2494,1086,0,27285,8327,21446,11977,9329,9324,8428,27081,25,0,442.90117058473953,0.03229631478765563,0.7292102224857241,0.17368240396917028,0.28380191593596904,0.08661237141282076,0.22306820191177543,0.3096805733245962,0.1245774435464578,0.5934824892605652,0.28168003245233564,46.168437126219345,0,0,0,12,12,12,0,0,174203.0,802.5162274094652,70.59697989215654,217.43745290927325
A82035,12,12,12,173310.0,14442.5,0.3595381317845537,11963.0,7599.0,4364.0,0.0,69.02659973457966,0.6352085597258212,0.3647914402741787,0.0,0.0,9.0555054921803,103893,90330,6318,7245,55214,40097,2195,3644,2743,0,35779,7309,23442,18826,9249,5601,3482,18332,205,0,599.4633893024061,0.06081256677543242,0.5314506270874843,0.38594515511150895,0.344383163447008,0.07035122674289894,0.2256359908752274,0.29598721761812635,0.18120566351919765,0.6403703810651343,0.17645077146679758,80.4819041509758,0,0,0,12,12,12,0,0,112930.0,651.6069470890312,62.772011248643096,172.43126167741298
A82053,12,12,12,89701.0,7475.083333333333,0.18749162983795367,34286.0,0.0,0.0,34286.0,382.22539325091134,0.0,0.0,1.0,0.0,69.23172180426296,45591,43708,1102,781,31010,12502,306,1772,1,0,16152,3763,8466,5713,4248,3093,4149,11490,7,0,508.2552033979554,0.02417143734509004,0.680178105327806,0.2742207891908491,0.3542804500888333,0.08253822026277116,0.1856945449759821,0.2682327652387533,0.12530981992059836,0.6225132153275866,0.2520234256761203,53.534644936945,0,0,0,12,12,12,1,1,59499.0,663.3036420998651,90.23809928675998,220.3480546439572
A82062,12,12,12,76764.0,6397.0,0.40328835117108736,1122.0,427.0,695.0,0.0,14.616226356104423,0.3805704099821747,0.6194295900178253,0.0,0.0,2.739209648359968,40006,35283,1818,2905,36879,2315,0,794,18,0,17923,3641,4139,2397,3308,3231,5363,11902,4,0,521.1557500911886,0.04544318352247163,0.9218367244913263,0.0578663200519922,0.4480077988301755,0.09101134829775534,0.10345948107783833,0.19447082937559368,0.05991601259811028,0.6424786282057692,0.2975053741938709,74.75048566703016,0,0,0,12,12,12,1,1,61532.0,801.5736543171279,79.8784470856916,205.00180884700717
A82071,12,12,12,49651.0,4137.583333333333,0.26647286821705424,61.0,24.0,37.0,0.0,1.22857545668768,0.39344262295081966,0.6065573770491803,0.0,0.0,0.9220434238545806,27058,22593,1466,2999,15899,9520,343,92,1204,0,9354,2019,4433,3555,2532,2188,2967,7687,10,0,544.9638476566433,0.05417990982334245,0.5875896222928524,0.3518367950328923,0.34570182570773894,0.07461748835834134,0.16383324709882474,0.23845073545716608,0.13138443343927858,0.584152561164905,0.2840934289304457,99.00491898105261,0,0,0,12,12,12,1,1,45789.0,922.2170751847898,82.45288905503152,237.88719804787922
A82072,12,12,12,88188.0,7349.0,0.32590983161325365,1423.0,843.0,580.0,0.0,16.135982219803147,0.5924104005621925,0.4075895994378074,0.0,0.0,4.559177850384802,36456,32173,2866,1417,21268,9715,5055,323,95,0,9294,2893,8488,8163,3975,2423,1202,7600,18,0,413.38957681317186,0.07861531709457976,0.5833881939872724,0.26648562650866797,0.2549374588545095,0.0793559359227562,0.2328286153170946,0.3121845512398508,0.2239137590520079,0.5671220100943604,0.20847048496818082,50.54314403292553,0,0,0,12,12,12,1,1,60382.0,684.696330566517,81.79951057140698,238.25346292150175
A83003,12,12,12,110194.0,9182.833333333334,0.47774158523344196,1227.0,767.0,460.0,0.0,11.134907526725593,0.6251018744906276,0.37489812550937246,0.0,0.0,1.6498263614615134,52501,47806,2050,2645,37225,11032,1247,1287,1710,0,16641,2268,8059,7745,6436,6086,5249,17771,17,0,476.4415485416629,0.03904687529761338,0.7090341136359307,0.2101293308698882,0.31696539113540695,0.04319917715853031,0.15350183806022744,0.19670101521875774,0.1475209996000076,0.5136664063541647,0.33848879068970117,47.98396400432073,0,0,0,12,12,12,0,0,70036.0,635.5699947365555,51.547292371948586,191.78712951228147
A83007,12,12,12,123141.0,10261.75,0.23414634146341462,4907.0,2623.0,2284.0,0.0,39.84862880762703,0.534542490319951,0.4654575096800489,0.0,0.0,5.305827806428778,69848,62638,3253,3957,54893,10858,811,2,3284,0,22889,3532,9048,13228,11813,6245,2976,21034,117,0,567.2196912482439,0.04657255755354484,0.7858922231130455,0.15545183827740236,0.32769728553430305,0.05056694536708281,0.12953842629710227,0.18010537166418508,0.18938265948917649,0.5078026571984882,0.30113961745504525,51.554286773277525,0,0,0,12,12,12,0,0,89385.0,725.8752162155578,64.89996483036934,143.7429478725785
A83015,12,12,12,116530.0,9710.833333333334,0.2777777777777778,608.0,385.0,223.0,0.0,5.217540547498499,0.6332236842105263,0.3667763157894737,0.0,0.0,1.124727176656568,65457,58269,2555,4633,53730,5924,0,0,5803,0,23334,3248,10057,12901,7275,4382,4250,15907,10,0,561.7180125289625,0.039033258475029406,0.8208442183418122,0.09050216172449088,0.35647829873046427,0.04962036145866752,0.1536428495042547,0.20326321096292221,0.19709122019035397,0.5597415096933865,0.24301449806743358,67.9759988409057,0,0,0,12,12,12,0,0,116200.0,997.1681112159959,85.41386984665779,299.65319172912643
A83016,12,12,12,129669.0,10805.75,0.35204743375949604,1344.0,929.0,415.0,0.0,10.364852046364204,0.6912202380952381,0.3087797619047619,0.0,0.0,2.83045809405243,86062,79683,2282,4097,56694,24377,1209,695,3087,0,37286,5213,13741,13427,9149,5093,2152,16394,1,0,663.7052803677054,0.02651576770235412,0.6587576398410449,0.2832492853988985,0.4332457995398666,0.06057261044363366,0.15966396318932863,0.22023657363296228,0.15601543073598104,0.6534823731728289,0.19049057656108387,62.66140658153159,0,0,0,12,12,12,0,0,111116.0,856.9203124879501,70.40395305884536,196.41456991454527
A83018,12,12,12,200442.0,16703.5,0.3586157432311278,25934.0,22240.0,3694.0,0.0,129.38406122469343,0.8575615022750058,0.14243849772499423,0.0,0.0,27.09661183212161,109558,100376,3834,5348,82532,23746,61,0,3219,0,39256,8041,26312,18113,7468,5645,4622,17735,101,0,546.5820536614083,0.034995162379744066,0.753317877288742,0.21674364263677687,0.3583124920133628,0.07339491410942149,0.2401650267438252,0.3135599408532467,0.16532795414301102,0.6718724328666095,0.16187772686613483,54.700991718628714,0,0,0,12,12,12,0,0,128579.0,641.4773350894523,66.70055932706322,240.68162055022083
A83021,12,12,12,192025.0,16002.083333333334,0.26243439140214947,2321.0,1555.0,766.0,0.0,12.08696784272881,0.6699698405859543,0.3300301594140457,0.0,0.0,2.3400320780765127,109633,100500,3592,5541,70298,32671,3,0,6661,0,38293,5952,24383,28474,9170,1523,1835,12528,3,0,570.9308683765134,0.032763857597621154,0.6412120438189232,0.29800333841087995,0.3492835186485821,0.05429022283436556,0.2224056625286182,0.2766958853629838,0.2597210693860425,0.6259794040115658,0.11427216257878559,72.52384632274288,0,0,0,12,12,12,0,0,214142.0,1115.1777112355162,83.26701874900506,197.1177301750172
A83023,12,12,12,150418.0,12534.833333333334,0.2235707441711913,45213.0,35135.0,10078.0,0.0,300.5823771091226,0.7770995067790237,0.22290049322097627,0.0,0.0,22.939191379253728,77420,70845,3058,3517,56165,18764,0,871,1620,0,30465,3799,11497,12482,9057,4769,5347,19173,4,0,514.6990386788815,0.03949883750968742,0.725458537845518,0.24236631361405322,0.3935029708085766,0.04907000774993542,0.14850167915267373,0.19757168690260915,0.16122448979591836,0.5910746577111857,0.2476491862567812,85.62507158963446,0,0,0,12,12,12,0,0,94047.0,625.2376710234148,51.0509903766336,152.3909389966159
A83025,12,12,12,164140.0,13678.333333333334,0.2556423928127967,1798.0,1216.0,582.0,0.0,10.954063604240282,0.6763070077864294,0.3236929922135706,0.0,0.0,2.5267601931121657,96295,83471,3443,9381,76665,13454,4,0,6172,0,38925,8551,18981,14129,5835,4246,5627,15708,1,0,586.6638235652492,0.03575471208266265,0.7961472558284438,0.13971649618360246,0.4042265953580144,0.08880004153902071,0.19711303806012773,0.28591307959914847,0.1467262059296952,0.6901396749571629,0.1631237343579625,73.96163070175231,0,0,0,12,12,12,0,0,174997.0,1066.1447544778848,70.75997990552519,220.83323049511716
A83031,12,12,12,141092.0,11757.666666666666,0.6346788525006346,2985.0,2336.0,649.0,0.0,21.15640858446971,0.7825795644891123,0.21742043551088777,0.0,0.0,3.8562524296469003,58822,53728,1629,3465,47288,9225,5,0,2304,0,17398,2073,6763,7122,8705,7787,8960,25452,14,0,416.90528166019334,0.027693720036720954,0.8039169018394479,0.15682907755601647,0.295773690115943,0.03524191628982354,0.11497398932372242,0.15021590561354597,0.12107714800584815,0.445989595729489,0.432695250076502,67.50916575738931,0,0,0,12,12,12,0,0,101120.0,716.695489467865,56.02273968062996,143.04202961132262
A83033,12,12,12,122575.0,10214.583333333334,0.42629126598592243,15538.0,8530.0,7008.0,0.0,126.76320620028554,0.5489767022782855,0.4510232977217145,0.0,0.0,14.766244809281778,86694,80257,3086,3351,49546,16980,14719,3116,2333,0,41254,5237,12056,13106,9917,4059,1063,15039,2,0,707.2730981032021,0.03559646573003899,0.5715043716981567,0.19586130528064227,0.47585761413707983,0.06040787136364685,0.1390638337139825,0.19947170507762935,0.1511753985281565,0.6753293192147092,0.1734722126098692,85.84865799349821,0,0,0,12,12,12,0,0,93237.0,760.6526616357332,69.50495616377988,193.6464739841531
A83040,12,12,12,147224.0,12268.666666666666,0.26041666666666663,2783.0,2229.0,554.0,0.0,18.903167961745368,0.8009342436219906,0.19906575637800933,0.0,0.0,3.0245383198485403,67910,58800,4469,4641,57812,5052,3020,733,1293,0,15972,4782,17020,11022,7896,4247,6964,19107,7,0,461.26990164647066,0.06580768664408776,0.851303195405684,0.07439257841260492,0.23519363863937565,0.07041672802238257,0.2506258283021646,0.3210425563245472,0.16230304815196583,0.5562361949639228,0.2813576792814019,62.00728747718793,0,0,0,12,12,12,0,0,106227.0,721.5331739390317,54.8125264755781,171.99805874100264
A83041,12,12,12,88108.0,7342.333333333333,0.2727024815925825,7514.0,1306.0,6208.0,0.0,85.2816997321469,0.17380889007186584,0.8261911099281342,0.0,0.0,8.696442445661651,67958,62336,2508,3114,54820,3283,6725,0,3130,0,26885,5621,16100,12440,5215,1209,482,6906,6,0,771.3034003722704,0.03690514729685983,0.8066747108508197,0.048309249830777834,0.3956119956443686,0.08271285205568145,0.23691103328526442,0.3196238853409459,0.1830542393831484,0.7152358809853144,0.10162158980546808,92.59499188710289,0,0,0,12,12,12,0,0,71335.0,809.631361510873,67.29194365387805,158.37293110929636
A83044,12,12,12,99830.0,8319.166666666666,0.19203072491598655,1987.0,873.0,1114.0,0.0,19.90383652208755,0.4393558127830901,0.5606441872169099,0.0,0.0,3.135740897473363,64297,59420,2873,2004,53140,7687,2106,50,1314,0,21276,5141,19356,11836,3224,1744,1687,6655,33,0,644.0649103475909,0.04468326671539885,0.8264771295705865,0.11955456708711137,0.33090190833164845,0.07995707420252889,0.3010404840039193,0.3809975582064482,0.18408323872031354,0.7118994665380967,0.10350405151095697,56.12932718447685,0,0,0,12,12,12,0,0,79559.0,796.9448061704899,61.59553048320235,183.98016309928335
A83045,12,12,12,178794.0,14899.5,0.2342860967936274,6875.0,3463.0,3412.0,0.0,38.45207333579427,0.5037090909090909,0.4962909090909091,0.0,0.0,6.757396304474616,126542,116195,3930,6417,56233,50472,16924,130,2783,0,57866,9256,18753,16609,9347,8458,6113,23918,140,0,707.7530565902659,0.031056882299947842,0.4443821023849789,0.3988557158887958,0.4572869086943465,0.07314567495377029,0.14819585592135417,0.22134153087512448,0.1312528646615353,0.678628439569471,0.18901234372777417,68.64849622391164,0,0,0,12,12,12,0,0,116455.0,651.3361745919885,43.959307402655945,170.25672861488454
A83046,12,12,12,131948.0,10995.666666666666,0.3275407151305614,589.0,337.0,252.0,0.0,4.463879710188862,0.5721561969439728,0.42784380305602715,0.0,0.0,0.831725699737838,72178,65011,2186,4981,58679,10616,0,0,2883,0,22676,5024,13773,11541,8825,4896,5439,19160,4,0,547.0185224482371,0.030286236803458117,0.81297625315193,0.14708082795311592,0.31416775194657653,0.06960569702679487,0.19081991742636262,0.2604256144531575,0.15989636731414003,0.574593366399734,0.26545484773753775,59.51155027371896,0,0,0,12,12,12,0,0,108003.0,818.5269954830691,58.064687111543314,176.4519457816374
A83047,12,12,12,179313.0,14942.75,0.45181738485400236,8051.0,6566.0,1485.0,0.0,44.89914283961564,0.8155508632468016,0.18444913675319835,0.0,0.0,14.04020900605371,71639,63313,3848,4478,58705,11292,0,0,1642,0,19338,4891,10803,8274,10295,6302,11724,28321,12,0,399.5192763491771,0.053713759265204705,0.819455882968774,0.1576236407543377,0.2699367662865199,0.06827286813048758,0.15079774982900376,0.21907061795949134,0.11549574952190846,0.48900738424601126,0.39532935970630523,74.53586623667434,0,0,0,12,12,12,0,0,109501.0,610.669611238449,42.847384304651925,121.63730528733788
A83049,12,12,12,197630.0,16469.166666666668,0.46009447273173426,1400.0,386.0,1014.0,0.0,7.083944745230987,0.2757142857142857,0.7242857142857143,0.0,0.0,1.191673066024698,117884,109422,3736,4726,78109,29875,411,1199,8290,0,42912,6731,25866,23636,8211,4517,6006,18734,5,0,596.4883873905784,0.03169217196566116,0.6625920396321808,0.25342709782498046,0.36401886600386824,0.057098503613721964,0.219419089952835,0.276517593566557,0.20050218859217536,0.6405364595704252,0.15891893726035763,67.82018098070444,0,0,0,12,12,12,0,0,137919.0,697.8646966553661,64.30895656481317,156.52785513765832
A83054,12,12,12,203347.0,16945.583333333332,0.3556820202738752,21092.0,18248.0,2844.0,0.0,103.72417591604498,0.8651621467855111,0.1348378532144889,0.0,0.0,34.44253545424839,139621,124155,4030,11436,104015,26948,743,2079,5836,0,64219,6370,15092,14126,11893,11587,16314,39794,20,0,686.6145062381053,0.028863852858810636,0.7449810558583594,0.1930082150965829,0.45995229943919613,0.045623509357474876,0.1080926221700174,0.15371613152749228,0.10117389217954319,0.6136684309666884,0.2850144319264294,70.38233699839574,0,0,0,12,12,12,0,0,127044.0,624.7645650046472,57.683717890536556,174.22419554654402
A83070,12,12,12,71078.0,5923.166666666667,0.37118272313143247,1592.0,951.0,641.0,0.0,22.39792903570725,0.5973618090452262,0.4026381909547739,0.0,0.0,3.358875550958713,29498,27063,888,1547,25173,2813,1240,0,272,0,7257,1044,3806,6681,4804,3016,2890,10710,0,0,415.00886350206815,0.03010373584649807,0.8533798901620449,0.09536239745067462,0.24601667909688793,0.035392229981693675,0.1290256966574005,0.16441792663909416,0.22648993152078106,0.4104346057359821,0.3630754627432368,57.88177066579533,0,0,0,12,12,12,0,0,46630.0,656.039843552154,47.864670445982874,116.64339034338707
A83071,12,12,12,56246.0,4687.166666666667,0.4045996592844974,1177.0,888.0,289.0,0.0,20.925932510756322,0.7544604927782498,0.24553950722175022,0.0,0.0,3.8925628213060874,30654,26817,1666,2171,26745,2528,251,0,1130,0,9075,2177,5831,5808,4092,1903,1763,7758,5,0,544.9987554670554,0.054348535264565796,0.8724799373654335,0.08246884582762445,0.29604619299275786,0.07101846414823514,0.1902198734259803,0.26123833757421544,0.18946956351536504,0.5572845305669734,0.2530827950675279,61.341046553992925,0,0,0,12,12,12,0,0,43005.0,764.5877040145077,68.29606692376856,150.09059672832768
A83075,12,12,12,99673.0,8306.083333333334,0.2044989775051125,3094.0,1284.0,1810.0,0.0,31.041505723716554,0.41499676793794443,0.5850032320620556,0.0,0.0,5.51992495745231,65468,54006,5774,5688,61649,1532,0,1351,936,0,20317,5068,14746,14012,5150,3074,3094,11318,7,0,656.8278269942713,0.08819575976049368,0.941666157512067,0.023400745402333965,0.3103348200647645,0.07741186533879148,0.22523981181645994,0.30265167715525143,0.2140282275310075,0.6129864972200159,0.17287835278303904,77.2790569229537,0,0,0,12,12,12,0,0,73569.0,738.1035987679712,59.76521756513641,173.4259989884191
A83618,12,12,12,92192.0,7682.666666666667,0.36434612882238127,6793.0,5528.0,1265.0,0.0,73.68318292259632,0.8137788900338584,0.1862211099661416,0.0,0.0,15.179038006681294,61037,57021,1659,2357,32511,19182,7094,861,1389,0,22627,6054,14455,5988,4324,4922,2662,11908,5,0,662.0639534883721,0.02718023493946295,0.5326441338860036,0.3142683945803365,0.37070956960532137,0.09918573979717221,0.23682356603371726,0.3360093058308895,0.09810442846142503,0.7067188754362108,0.19509477857692875,101.8450525317326,0,0,0,12,12,12,0,0,78634.0,852.9373481430059,61.65120346955908,170.18865760366975
A83626,12,12,12,27631.0,2302.5833333333335,0.740418118466899,124.0,62.0,62.0,0.0,4.487713075893018,0.5,0.5,0.0,0.0,1.57544166509615,18528,15978,629,1921,15451,2016,0,0,1061,0,6500,1244,3948,1972,892,821,3148,4861,3,0,670.5511925011762,0.0339486183074266,0.8339270293609672,0.10880829015544041,0.3508203799654577,0.06714162348877374,0.21308290155440415,0.2802245250431779,0.10643350604490501,0.6310449050086355,0.26235967184801384,123.59990869524567,0,0,0,12,12,12,0,0,29499.0,1067.6052260142594,72.85580034236322,250.11019688510135
A83627,12,12,12,79422.0,6618.5,0.37747244451155065,1534.0,1187.0,347.0,0.0,19.31454760645665,0.7737940026075619,0.22620599739243807,0.0,0.0,3.3307790489283278,54833,48787,1815,4231,34901,18384,0,7,1541,0,22895,5813,13058,6297,2805,1670,2294,6769,1,0,690.4006446576516,0.033100505170244196,0.6364962704940456,0.3352725548483577,0.4175405321612897,0.10601280250943775,0.23814126529644558,0.3441540678058833,0.11483960388816954,0.761694599967173,0.12344755895172616,76.62939995404898,0,0,0,12,12,12,0,0,58453.0,735.9799551761477,71.31632767029006,223.80671131762097
A83636,12,12,12,69511.0,5792.583333333333,0.32562125107112255,14251.0,12345.0,1906.0,0.0,205.01791083425644,0.8662549996491474,0.13374500035085257,0.0,0.0,15.601352677989047,59224,55535,1449,2240,34721,9363,14073,0,1067,0,29621,3859,10151,6526,4245,3086,1734,9065,2,0,852.0090345412956,0.024466432527353775,0.5862657030933406,0.1580946913413481,0.5001519654194245,0.06515939483992976,0.17140010806429826,0.236559502904228,0.110191814129407,0.7367114683236525,0.15306294745373497,92.47483104303421,0,0,0,12,12,12,0,0,55496.0,798.377235257729,91.11039713998412,260.5066191122769
