practice_code_standardised,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_over_14_days_share,ocs_mean_absolute_monthly_rate_change,gpad_mean_absolute_monthly_rate_change,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range
A84009,40.95632809600396,0.6193173236671198,0.3806826763328802,585.7942595570952,0.06375429648519791,0.5945807528022852,0.3446797501570758,0.4622041299056489,0.27105211748742075,0.11081895891741772,0.15407684306675326,5.850283303510571,57.7278176108794,1013.160336508722,108.96556259400633,264.57260587257997
A84014,27.983893130683107,0.5849701110162254,0.4150298889837746,435.5247278679906,0.050604260689447046,0.8971042126778145,0.08640722094953292,0.32239125365231347,0.1713329400952002,0.20016735483339965,0.3060810162004966,3.8772603450753023,65.17664492738619,1002.9513328792822,101.61058601985387,218.6942346174917
A84016,22.98906558215425,0.7145127118644068,0.2854872881355932,554.1363271071281,0.028763541277549497,0.7093541936759762,0.23035004065129974,0.33733986683952627,0.241205036366433,0.1407633654881452,0.2805598892526753,4.6387222343662025,76.18157710110572,774.8094391544699,82.10748359056356,255.87434214617792
A84031,262.9012472666042,0.8322851760614404,0.16771482393855963,629.9877330529459,0.015758792511247642,0.5918678341638044,0.3553287213971264,0.441427603889507,0.1561970877074162,0.12299840356054376,0.27929224517439893,21.480960761379553,76.08248242972705,675.7411597979383,55.88382507739423,144.24752706539323
A84034,10.56994200694724,0.5684062059238364,0.4315937940761636,532.8353981245434,0.03939453288939873,0.7553509974539044,0.2109062421308861,0.31073556979379424,0.1830390867631012,0.120533840687166,0.38560756554097536,2.6115515964052687,74.26779613425002,1004.4277472158863,84.49895842689749,216.82558066066247
A85002,16.512955643390427,0.3803191489361702,0.6196808510638298,392.64382960035135,0.04787204295061798,0.8346848610256697,0.11900900397069515,0.4135674738549298,0.2572563055757508,0.16050556456574017,0.16867065600357922,3.859313373717008,63.49970267187202,1007.8392621870883,89.6236440702601,292.5615456634222
A85004,183.47281026726648,0.8827241177265966,0.11727588227340334,492.03658375231544,0.0864019092116099,0.5486126283591872,0.3577923060116637,0.40540495117729114,0.1584006991479135,0.12725836540562344,0.3084317910623351,30.579229365996824,56.238200218731095,559.4899444297433,53.040646416323426,187.88141632057489
A85006,104.58380556604962,0.9087077882983964,0.09129221170160363,628.3786104337672,0.03910583991473779,0.5737071753249711,0.35959518669326557,0.46098980679364904,0.20028420736206376,0.10527514369779284,0.2331957842574627,38.13186840868762,62.15161682438868,682.16162379366,88.9497054608844,284.1857267473216
A85007,19.250725948493358,0.7166172106824926,0.28338278931750743,443.10943971057264,0.04112414593270594,0.9038073138240729,0.06667096386059902,0.3227622362597224,0.26438485668858236,0.1776245111941902,0.23507799406987237,3.1130845882212808,53.4727379158706,959.6896272671014,75.10658053223739,228.0440511611572
A85009,23.293100573348894,0.3722466960352423,0.6277533039647577,457.3836306966125,0.0344373089542612,0.7651925180178917,0.12815838918646064,0.5474073866345103,0.1794217448610449,0.10709778737485627,0.16604503771838808,4.1227272096259036,63.595869759262605,1009.6969075074073,72.97990079088653,372.1482342595434
