practice_code_standardised,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_over_14_days_share,ocs_mean_absolute_monthly_rate_change,gpad_mean_absolute_monthly_rate_change,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range,cbt_answered_share_cbt003,cbt_missed_share,cbt_ivr_share,cbt_callback_request_share
K82025,11.549409696837717,0.5515151515151515,0.362962962962963,543.3200080884754,0.04364505647089137,0.6978628380022617,0.28630527204798234,0.4878111624844329,0.3597675317425099,0.10313631743941368,0.04886986644526833,4.885263091316663,58.7842245737239,981.3731742599823,58.82011997393557,249.8814171822122,0.4965407384512969,0.17836000095099974,0.23511883534232028,0.06373283247347107
K82026,309.30698531524524,0.557738279556574,0.44226172044342604,635.6510445599746,0.04367243862895303,0.5978169807795464,0.06427912751556501,0.4469403376386989,0.20233008070300212,0.1085120873689857,0.2421572231899082,26.44772412924075,91.95148474096376,527.2144939640409,61.50866222832666,172.61611387157774,0.49665365917464194,0.1982806856910321,0.24112547506412912,0.04780071650207466
K82027,223.73342868144562,0.5404142848361916,0.4595857151638085,455.1405467847516,0.07626299250664732,0.665035049552816,0.25972927241962773,0.18026347594875514,0.3928571428571429,0.2125030215131738,0.21431592941745226,55.081327946444205,64.15306177872795,567.0691457175863,113.76928567216869,678.0848338407686,0.4624954528919607,0.18995998544925427,0.26962531829756275,0.06846125863950528
K82028,230.7505036937542,0.8840906610397643,0.11590933896023575,586.3415043653458,0.021533395375474263,0.33926551650082326,0.22240675782088912,0.7012670914167084,0.15668981315770636,0.0577564607344835,0.0841005082683084,17.383613569832708,59.74519098710691,331.5732034922767,59.06419462135825,212.60099970625294,0.6225536116667089,0.11638858647492215,0.23847380813732688,0.021647213712433857
K82032,240.78455832999992,0.6790933408418978,0.2997043502745319,669.4034454938067,0.03957056768116676,0.5254874158099965,0.08737529751354636,0.5614321162708259,0.19912898161746087,0.09636906871929914,0.14291791158150605,20.645474073903777,61.23680650050464,423.1204702468525,54.15043927398606,171.80958914691877,0.6009389671361502,0.11331698953676553,0.2569340960438398,0.028809947283244403
K82038,213.74053671394157,0.8446227309998875,0.15537726900011253,330.26567649393627,0.06526195307216066,0.7370168045367046,0.2150356381041569,0.33018053171010875,0.2535664117371625,0.15215649549971386,0.2639821029082774,27.431620110233645,43.31544581795355,520.960985315798,52.05596947425393,249.16315717833373,0.35330087865115173,0.05109633499564632,0.5511095279558827,0.043708277263252326
K82039,30.01184543746426,0.0,0.0,423.68372681970425,0.0483966209132211,0.8933008761041684,0.07290825610681963,0.4671189790433955,0.16533905351827527,0.06794326412070233,0.2993817861920199,7.423297900394113,49.69986335732212,508.6390000816927,61.867381456759695,218.4600870177855,0.5631800843204176,0.13854647661112227,0.24620558120859265,0.049598474201967474
K82044,133.89245678625085,0.6428483353884094,0.35715166461159065,326.90561489821863,0.06252209484369477,0.6611534770971164,0.32748346043129134,0.4368971264077572,0.2910206555224484,0.18440987828897532,0.08704105853239735,24.16936480154304,37.54470290005076,530.0391276353371,72.23038205936737,279.8589097723814,0.5531069926802679,0.08556299641800343,0.31415667341535586,0.03916835383896589
K82047,218.64228927866154,0.6145578163275509,0.38544218367244915,349.18495092216773,0.0374486111980634,0.7292097080489993,0.266533107953004,0.2220309271896325,0.31271520691166343,0.15500114777019555,0.31010663828544,16.60803378134596,51.57253270005057,483.7828187508653,52.22937133062574,164.5471517320728,0.5439825274890797,0.1641211025756891,0.282369332730833,0.004955565597228498
K82051,165.6454600679471,0.6468058133743831,0.35319418662561686,415.812327976061,0.04792222783348965,0.6551475362527956,0.32901666546425223,0.3672714811341173,0.278533294856071,0.1925907221701176,0.15817762066228988,47.972103241480674,57.82857526542842,602.2919025941397,81.4438821104772,341.85701033484526,0.5675827117757661,0.05741573173616905,0.3589635034678554,0.01591353397502148
