practice_code_standardised,ocs_months,cbt_months,denominator_months,patient_month_exposure,ocs_total,cbt_total,ocs_submissions_per_1000_patient_months,cbt_inbound_calls_per_1000_patient_months,ocs_morning_share,cbt_morning_share,ocs_out_of_hours_share,cbt_out_of_hours_share,cbt_april_y60_integrity_gap_flag
D83076,12,12,12,66429.0,726.0,45701.0,10.9289617486339,687.967604510078,0.582644628099174,0.515896807509682,0.122589531680441,0.0152075446926763,0
D83078,12,9,12,122360.0,4899.0,59141.0,40.0375939849624,483.336057535142,0.523780363339457,0.59182293163795,0.362931210451112,0.0356098138347339,0
D83079,9,10,12,112061.0,30248.0,41494.0,269.924416166195,370.280472242796,0.548333774133827,0.466573480503205,0.0276381909547739,0.02983563888755,0
D83080,12,12,12,71426.0,12400.0,36581.0,173.606249824994,512.15243748775,0.421451612903226,0.480358656132965,0.42258064516129,0.0649517509089418,0
D83081,9,10,12,100833.0,28664.0,35440.0,284.272014122361,351.472236271855,0.504291096846218,0.45318848758465,0.107800725648898,0.0397009029345372,0
D83084,12,12,12,78535.0,16175.0,34398.0,205.959126504106,437.995798051824,0.457496136012365,0.471480900052329,0.411622874806801,0.0649747078318507,0
D83608,12,9,12,78230.0,2342.0,40080.0,29.9373641825387,512.335421193915,0.378736122971819,0.479615768463074,0.241246797608881,0.0725299401197605,0
D83610,12,4,12,154421.0,49531.0,41198.0,320.753006391618,266.790138646946,0.420181300599624,0.497888247002282,0.357695180795865,0.0487159570852954,0
E81002,12,12,12,122687.0,6694.0,68730.0,54.561607994327,560.20605280103,0.603973707798028,0.587909209951986,0.054227666567075,0.0206896551724138,0
E81003,12,12,12,253194.0,54435.0,105130.0,214.993246285457,415.215210471022,0.466813630935979,0.450052316179968,0.227004684486084,0.0431370683915153,0
E81004,12,12,12,146417.0,7143.0,131943.0,48.7853186446929,901.145358803964,0.417891642167157,0.579939822499109,0.232395352092958,0.138317303684167,0
E81005,12,12,12,130337.0,28546.0,48381.0,219.016856303275,371.199275723701,0.559202690394451,0.502904032574771,0.348490156239053,0.0520865629069263,0
E81006,12,12,12,114334.0,28373.0,74878.0,248.15890286354,654.905802298529,0.742008247277341,0.416864766687144,0.066154442603884,0.071596463580758,0
E81007,12,12,12,80381.0,729.0,49618.0,9.06930742339608,617.285179333425,0.51440329218107,0.52583739771857,0.12482853223594,0.0405094925228748,0
E81008,12,12,12,146075.0,25923.0,86950.0,177.463631696047,595.24217011809,0.559348840797747,0.589396204715354,0.242294487520734,0.0218401380103508,0
E81009,12,12,12,149456.0,15061.0,104915.0,100.772133604539,701.979177818221,0.357944359604276,0.457560882619263,0.286368767014142,0.0821522184625649,0
E81010,12,12,12,111810.0,28364.0,52010.0,253.680350594759,465.164117699669,0.502820476660556,0.480657565852721,0.29177831053448,0.048682945587387,0
E81012,12,12,12,155330.0,17189.0,77197.0,110.661172986545,496.98705980815,0.677409971493397,0.551977408448515,0.170690557914946,0.0262315893104654,0
E81013,12,12,12,187522.0,36117.0,76671.0,192.601401435565,408.864026620876,0.290804884126589,0.451409268171799,0.498324888556635,0.0745001369487812,0
E81014,12,12,12,222904.0,9067.0,148761.0,40.6767038725191,667.376987402649,0.335502371236352,0.416708680366494,0.286092423072681,0.153077755594544,0
E81015,12,12,12,172569.0,60056.0,72288.0,348.011520029669,418.893312240321,0.465382309844145,0.480868193891102,0.277257892633542,0.0252185701637893,0
E81016,12,12,12,77754.0,22632.0,40457.0,291.071841963114,520.320497980811,0.594070342877342,0.476950836690808,0.157299399080947,0.0335417851051734,0
E81018,12,12,12,158788.0,44068.0,79097.0,277.527269063153,498.129581580472,0.54699555232822,0.472419940073581,0.339248434237996,0.0605332692769637,0
E81019,12,12,12,275400.0,70563.0,136824.0,256.220043572985,496.81917211329,0.424797698510551,0.470458399111267,0.206312089905475,0.0327135590247325,0
E81021,12,12,12,270912.0,60644.0,114637.0,223.851287502953,423.152167493503,0.613811753842095,0.447281418739151,0.0417683530110151,0.0463637394558476,0
E81022,12,12,12,233477.0,49795.0,108834.0,213.275825884348,466.144416794802,0.594356863138869,0.45127441792087,0.0809519028014861,0.0910009739603433,0
E81024,12,12,12,73272.0,14141.0,37620.0,192.993230702042,513.429413691451,0.571529594795276,0.511881977671451,0.115621243193551,0.021451355661882,0
E81025,12,12,12,91584.0,30381.0,46007.0,331.728249475891,502.347571628232,0.464764161811659,0.439585280500793,0.233172048319673,0.0381681048536092,0
E81026,12,12,12,119061.0,39749.0,55667.0,333.854074801992,467.550247352198,0.681803315806687,0.481739630301615,0.0955747314397846,0.0239639283597104,0
E81027,12,12,12,163336.0,14808.0,103465.0,90.6597443307048,633.448841651565,0.611358725013506,0.507437297636882,0.0611831442463533,0.0384091238583096,0
E81028,12,12,12,194629.0,38038.0,71614.0,195.438500942819,367.951333049032,0.477916820022083,0.468609489764571,0.37664966612335,0.0554779791660848,0
E81029,12,,12,216882.0,15750.0,,72.6201344509918,,0.60831746031746,,0.0658412698412698,,0
E81030,12,12,12,131637.0,22449.0,54480.0,170.537159005447,413.86540258438,0.533965878212838,0.494713656387665,0.255824312886988,0.0431901615271659,0
E81031,12,12,12,62306.0,2731.0,44576.0,43.8320546977819,715.436715565114,0.533870377151227,0.505137293610912,0.0761625778103259,0.201722900215363,0
E81032,10,12,12,574218.0,121511.0,177499.0,211.611269587509,309.114308503042,0.530659775658171,0.488498526752263,0.105002839249121,0.0557693282779058,0
E81033,12,12,12,243533.0,70384.0,87047.0,289.012166728944,357.434105439509,0.500951920891112,0.485932886831252,0.293006933393953,0.0581524923317288,0
E81034,12,12,12,98472.0,20443.0,43145.0,207.602161020392,438.144853359331,0.573986205547131,0.473496349519064,0.180599716284303,0.0211380229458802,0
E81035,10,12,12,119622.0,19759.0,74741.0,165.178646068449,624.809817592082,0.549673566476036,0.489410096198873,0.0910471177691179,0.105029368084452,0
E81036,12,12,12,156834.0,49248.0,75832.0,314.013542981751,483.517604601043,0.811850227420403,0.492153708197067,0.0128330084470435,0.0705111298660196,0
E81037,12,12,12,438348.0,116878.0,168083.0,266.632903537828,383.446485440791,0.530416331559404,0.487759023815615,0.143876520816578,0.0349529696637971,0
E81038,12,12,12,258573.0,31878.0,130598.0,123.284333631122,505.072068622787,0.546740698914612,0.547741925603761,0.0797415145241232,0.0278258472564664,0
E81040,12,9,12,113465.0,30208.0,44586.0,266.231877671529,392.949367646411,0.698953919491525,0.474431435876733,0.0574682203389831,0.0289328488763289,0
E81041,12,9,12,167450.0,31037.0,51995.0,185.350851000299,310.510600179158,0.484776234816509,0.513953264736994,0.333311853594097,0.0305798634484085,0
E81043,12,6,12,130159.0,37887.0,39577.0,291.082445316882,304.066564740049,0.49106553699158,0.461530687015186,0.263018977485681,0.104100866664982,0
E81044,12,12,12,236282.0,42019.0,98134.0,177.834113474577,415.325754818395,0.469573288274352,0.495567285548332,0.311406744567934,0.0320378258299876,0
E81045,11,,12,125769.0,3635.0,,28.902193704331,,0.458046767537827,,0.178266850068776,,0
E81046,12,12,12,146016.0,11834.0,95583.0,81.045912776682,654.606344510191,0.515041406117965,0.490547482292876,0.084755788406287,0.0190305807518073,0
E81047,12,12,12,217474.0,52797.0,99022.0,242.773848827906,455.327993231375,0.519366630679774,0.440073922966613,0.14597420307972,0.0385065944941528,0
E81048,12,12,12,131844.0,29998.0,57089.0,227.526470677467,433.004156427293,0.548569904660311,0.460088633537109,0.29721981465431,0.0423374030023297,0
E81049,12,12,12,93185.0,2406.0,61755.0,25.8196061597897,662.713956108816,0.602244389027431,0.438944215043316,0.176641729010806,0.259120718970124,0
E81050,2,12,12,153394.0,1767.0,79044.0,11.5193553854779,515.300468075674,0.370684776457272,0.482617276453621,0.269383135257499,0.0487703051465007,0
E81052,11,12,12,97480.0,922.0,76135.0,9.45835043085761,781.032006565449,0.350325379609544,0.417902410192421,0.251626898047722,0.225599264464438,0
E81057,10,12,12,261059.0,56671.0,112545.0,217.081196204689,431.109442693031,0.558963138112968,0.485583544360034,0.116179350990807,0.0942822870851659,0
E81060,12,,12,74573.0,2813.0,,37.7214273262441,,0.573409171702808,,0.0547458229648063,,0
E81061,12,,12,86558.0,22633.0,,261.4778530003,,0.481067467856669,,0.202491936552821,,0
E81063,12,12,12,110669.0,28865.0,61580.0,260.822813976814,556.434051089284,0.811778971072233,0.515946735953232,0.0215139442231076,0.0319584280610588,0
E81069,12,12,12,59610.0,13943.0,28322.0,233.903707431639,475.121623888609,0.578569891701929,0.452086717039757,0.299218245714696,0.0331544382458866,0
E81073,12,5,12,218735.0,34866.0,41910.0,159.3983587446,191.601709831531,0.45832616302415,0.492197566213314,0.445018069179143,0.0708422810785015,0
E81074,12,12,12,140847.0,11375.0,92420.0,80.7613935689081,656.173010429757,0.500571428571429,0.584018610690327,0.0828131868131868,0.0165440380869942,0
E81076,12,12,12,68337.0,17836.0,28826.0,261.000629234529,421.821268127076,0.588080287059879,0.471449385970998,0.149472976003588,0.0351418857975439,0
E81612,11,12,12,67716.0,15281.0,40466.0,225.663063382362,597.584027408589,0.568091093514822,0.497405229081204,0.18087821477652,0.0492017990411704,0
E81615,12,12,12,51136.0,6289.0,25603.0,122.985763454318,500.68444931164,0.419939577039275,0.478342381752138,0.228494196215615,0.040112486817951,0
E81617,12,12,12,63427.0,20150.0,29652.0,317.688050830088,467.498068645845,0.424069478908189,0.440071496020504,0.146848635235732,0.0404357210306219,0
E81631,12,12,12,118069.0,28530.0,48031.0,241.638364007487,406.804495676257,0.80981423063442,0.528825133767775,0.0407991587802313,0.0578792862942683,0
E81632,12,12,12,99514.0,19698.0,57593.0,197.941998110819,578.742689470828,0.560615290892476,0.462417307658917,0.341151385927505,0.125449273349192,0
E81633,12,12,12,64829.0,12764.0,36395.0,196.887195545204,561.399990744883,0.59636477593231,0.500480835279571,0.187167032278283,0.0250583871410908,0
E81635,11,,12,98084.0,1610.0,,16.4145018555524,,0.481366459627329,,0.21055900621118,,0
E82001,12,12,12,526935.0,65931.0,197200.0,125.121694326625,374.239706984732,0.485113224431603,0.446110547667343,0.194855227434742,0.0381795131845842,0
E82002,12,12,12,130276.0,4662.0,82276.0,35.7855629586417,631.551475329301,0.5,0.518523020078759,0.0690690690690691,0.0688657688754922,0
E82004,12,12,12,60353.0,4363.0,27581.0,72.2913525425414,456.994681291734,0.589044235617694,0.541640984735869,0.274581709832684,0.0518110293317864,0
E82005,12,12,12,585702.0,174526.0,201197.0,297.977469771317,343.514278592185,0.567525755474829,0.451661804102447,0.174209000378167,0.0503039309731258,0
E82006,12,12,12,92331.0,26561.0,50584.0,287.671529605441,547.854999945847,0.475584503595497,0.420093310137593,0.308384473476149,0.0417721018503875,0
E82007,7,12,12,143798.0,10808.0,86738.0,75.1609897216929,603.193368475222,0.509715025906736,0.469136941133067,0.12999629903775,0.099679494569854,0
E82008,12,10,12,134472.0,40669.0,48920.0,302.434707597121,363.793206020584,0.439573139246109,0.447567457072772,0.152204381715803,0.0661896974652494,0
E82009,12,12,12,280800.0,61018.0,114311.0,217.30056980057,407.090455840456,0.345455439378544,0.430186071331718,0.295437411911239,0.0415533063309743,0
E82012,12,9,12,175474.0,48239.0,49673.0,274.906823802957,283.078974662913,0.331930595576194,0.444466812956737,0.249445469433446,0.0240372033096451,0
E82013,12,12,12,433053.0,99223.0,148167.0,229.124379694864,342.145187771474,0.492426151194783,0.423684086200031,0.0969130141197102,0.0516444282465056,0
E82014,12,12,12,238246.0,44080.0,72377.0,185.018846066671,303.79103951378,0.414065335753176,0.438993050278403,0.219033575317604,0.0350802050375119,0
E82015,12,12,12,104014.0,3185.0,62803.0,30.6208779587363,603.793720076144,0.482574568288854,0.45569479165008,0.0857142857142857,0.1659315637788,0
E82017,12,12,12,157164.0,899.0,92393.0,5.72013947214375,587.87635845359,0.491657397107898,0.516954747654043,0.0789766407119021,0.023508274436375,0
E82018,12,12,12,178600.0,6010.0,94588.0,33.6506159014558,529.608062709966,0.63910149750416,0.544181080052438,0.0825291181364393,0.0277942233687148,0
E82019,12,12,12,189900.0,4062.0,133387.0,21.390205371248,702.406529752501,0.464303298867553,0.450778561628944,0.0745937961595273,0.136894899802829,0
E82020,12,12,12,80257.0,2411.0,44330.0,30.0409933089949,552.350573781726,0.369141435089175,0.524949244304083,0.281211115719618,0.0747575005639522,0
E82021,12,,12,79860.0,1194.0,,14.9511645379414,,0.342546063651591,,0.301507537688442,,0
E82022,12,12,12,222328.0,56490.0,73317.0,254.084055989349,329.769529703861,0.510143388210303,0.442162117926265,0.140679766330324,0.0285336279444058,0
E82023,12,12,12,147891.0,35889.0,42977.0,242.671967868227,290.599157487609,0.636267379977152,0.456709402703772,0.162974727632422,0.0295274216441352,0
E82024,12,12,12,212241.0,42959.0,80405.0,202.406698046089,378.838207509388,0.485160269093787,0.43642808283067,0.19558183384157,0.0394378459051054,0
E82027,12,9,12,152577.0,4590.0,82876.0,30.0831711201557,543.174921515038,0.520479302832244,0.567232974564409,0.117864923747277,0.142622713451421,0
E82031,12,2,12,233189.0,72356.0,6358.0,310.289078815896,27.2654370489174,0.517579744596163,0.456747404844291,0.117143015092045,0.0273670965712488,0
E82032,12,12,12,182423.0,41648.0,63023.0,228.304544931286,345.477269861805,0.371374375720323,0.452247592148898,0.301431041106416,0.0387953604239722,0
E82035,12,12,12,154044.0,43927.0,51631.0,285.158785801459,335.170470774584,0.544585334759943,0.480564002246712,0.214674346074169,0.0281807441265906,0
E82037,12,12,12,187229.0,48924.0,55243.0,261.305673800533,295.055787297908,0.510444771482299,0.452202088952446,0.11763142833783,0.0295422044421918,0
E82038,11,9,12,243242.0,3302.0,109741.0,13.5749582720089,451.159750372057,0.340702604482132,0.550869775197966,0.299818291944276,0.0137505581323298,0
E82040,12,12,12,253675.0,88110.0,92824.0,347.334187444565,365.91701980881,0.470480081716037,0.513229337240369,0.26340937464533,0.0272127897957425,0
E82041,12,12,12,152406.0,3647.0,91771.0,23.9295040877656,602.148209388082,0.503701672607623,0.594425254165259,0.418700301617768,0.0540039881879897,0
E82042,12,5,12,112308.0,24283.0,17096.0,216.217900772875,152.224240481533,0.530247498249804,0.458879270004679,0.0720668780628423,0.0294220870379036,0
E82043,12,12,12,182359.0,55447.0,107443.0,304.054091106005,589.18397227447,0.775695709416199,0.522872592909729,0.00452684545602107,0.0282661504239457,0
